Image,R,G,B,His_AVG,His_STD,Label
66221595102.png,228,222,204,128,85,101
66221595102.png,239,233,215,123,74,101
66221595102.png,232,226,208,114,78,101
66221595102.png,235,228,210,133,73,101
66221595102.png,226,219,201,144,68,101
66221595102.png,234,228,210,144,83,101
66221595102.png,233,227,209,126,85,101
66221595102.png,234,228,210,105,81,101
66221595102.png,226,219,201,109,77,101
66320295103.png,225,217,199,126,92,101
66320295103.png,233,225,207,113,78,101
66320295103.png,227,220,203,115,79,101
66320295103.png,233,226,208,137,81,101
66320295103.png,224,216,198,145,79,101
66320295103.png,230,223,205,139,79,101
66320295103.png,230,222,204,123,79,101
66320295103.png,231,223,206,110,88,101
66320295103.png,224,216,198,109,82,101
66320295103.png,225,217,199,126,92,101
66320295103.png,233,225,207,113,78,101
66320295103.png,227,220,203,115,79,101
66320295103.png,233,226,208,137,81,101
66320295103.png,224,216,198,145,79,101
66320295103.png,230,223,205,139,79,101
66320295103.png,230,222,204,123,79,101
66320295103.png,231,223,206,110,88,101
66320295103.png,224,216,198,109,82,101
66352598112.png,104,96,87,66,61,101
66352598112.png,109,101,92,58,52,101
66352598112.png,108,101,91,69,47,101
66352598112.png,104,96,87,81,61,101
66352598112.png,105,97,87,90,60,101
66352598112.png,112,104,95,78,66,101
66352598112.png,108,101,91,64,52,101
66352598112.png,108,100,90,52,48,101
66352598112.png,103,95,86,50,50,101
66352598112.png,104,96,87,66,61,101
66352598112.png,109,101,92,58,52,101
66352598112.png,108,101,91,69,47,101
66352598112.png,104,96,87,81,61,101
66352598112.png,105,97,87,91,60,101
66352598112.png,112,104,95,78,66,101
66352598112.png,108,101,91,64,52,101
66352598112.png,108,100,90,52,48,101
66352598112.png,103,95,86,50,50,101
67818395102.png,218,208,188,125,86,101
67818395102.png,227,218,198,130,75,101
67818395102.png,227,217,198,132,85,101
67818395102.png,236,227,208,166,76,101
67818395102.png,233,224,204,176,72,101
67818395102.png,224,216,196,133,81,101
67818395102.png,226,216,196,120,83,101
67818395102.png,234,225,206,105,87,101
67818395102.png,232,223,203,122,84,101
67818395102.png,218,208,188,125,86,101
67818395102.png,227,218,198,130,75,101
67818395102.png,227,217,198,133,85,101
67818395102.png,236,227,208,166,76,101
67818395102.png,233,224,204,176,72,101
67818395102.png,224,216,196,133,81,101
67818395102.png,226,216,196,120,83,101
67818395102.png,234,225,206,105,87,101
67818395102.png,232,223,203,122,84,101
67853194106.png,122,113,103,69,68,101
67853194106.png,120,112,102,66,54,101
67853194106.png,116,108,97,76,55,101
67853194106.png,112,104,94,82,56,101
67853194106.png,123,115,105,103,75,101
67853194106.png,116,108,98,78,72,101
67853194106.png,117,110,99,72,57,101
67853194106.png,112,104,93,64,59,101
67853194106.png,114,105,95,65,58,101
67853194106.png,122,113,103,69,68,101
67853194106.png,120,112,102,66,54,101
67853194106.png,116,108,97,76,55,101
67853194106.png,112,104,94,82,56,101
67853194106.png,123,115,105,103,75,101
67853194106.png,116,108,98,78,72,101
67853194106.png,117,110,99,72,57,101
67853194106.png,112,104,93,63,58,101
67853194106.png,114,105,95,65,58,101
696511102112.png,121,112,102,73,58,101
696511102112.png,115,107,96,65,53,101
696511102112.png,113,105,94,72,51,101
696511102112.png,105,97,87,83,56,101
696511102112.png,116,107,97,123,74,101
696511102112.png,113,104,93,86,73,101
696511102112.png,115,107,96,76,57,101
696511102112.png,108,100,90,63,58,101
696511102112.png,108,99,89,63,52,101
696511102112.png,121,112,102,73,58,101
696511102112.png,115,107,96,65,53,101
696511102112.png,113,105,94,72,51,101
696511102112.png,105,97,87,83,56,101
696511102112.png,116,107,97,123,74,101
696511102112.png,113,104,93,86,73,101
696511102112.png,115,107,96,76,57,101
696511102112.png,108,100,90,63,58,101
696511102112.png,108,99,89,63,52,101
697488104118.png,116,109,99,65,58,101
697488104118.png,114,107,96,58,49,101
697488104118.png,110,103,93,58,48,101
697488104118.png,107,100,90,78,55,101
697488104118.png,114,107,97,86,60,101
697488104118.png,109,102,92,71,60,101
697488104118.png,113,107,96,66,56,101
697488104118.png,106,100,89,58,54,101
697488104118.png,109,103,92,61,54,101
697488104118.png,116,109,99,65,58,101
697488104118.png,114,107,96,58,49,101
697488104118.png,110,103,93,58,48,101
697488104118.png,107,100,90,78,55,101
697488104118.png,114,107,97,86,60,101
697488104118.png,109,102,92,71,60,101
697488104118.png,113,107,96,66,56,101
697488104118.png,106,100,89,58,54,101
697488104118.png,109,103,92,61,54,101
22305143130.png,140,132,113,68,58,102
22305143130.png,145,137,118,59,52,102
22305143130.png,139,130,111,59,54,102
22305143130.png,135,127,109,47,56,102
22305143130.png,141,133,114,55,52,102
22305143130.png,142,134,115,59,60,102
22305143130.png,138,130,111,54,55,102
22305143130.png,137,130,110,51,54,102
22305143130.png,138,130,111,55,49,102
22305143130.png,140,132,113,68,58,102
22305143130.png,145,137,118,59,52,102
22305143130.png,139,130,111,59,54,102
22305143130.png,135,127,109,47,56,102
22305143130.png,141,133,114,55,52,102
22305143130.png,142,134,115,59,60,102
22305143130.png,138,130,111,54,55,102
22305143130.png,137,130,110,51,54,102
22305143130.png,138,130,111,55,49,102
390343140164.png,131,117,99,55,46,102
390343140164.png,124,109,91,49,43,102
390343140164.png,127,113,95,50,40,102
390343140164.png,124,110,92,52,48,102
390343140164.png,127,114,96,53,47,102
390343140164.png,124,110,92,48,49,102
390343140164.png,125,111,93,48,45,102
390343140164.png,125,111,93,55,41,102
390343140164.png,127,113,95,51,41,102
390343140164.png,131,117,99,55,46,102
390343140164.png,124,109,91,49,43,102
390343140164.png,127,113,95,50,40,102
390343140164.png,124,110,92,52,48,102
390343140164.png,127,114,96,53,47,102
390343140164.png,124,110,92,48,49,102
390343140164.png,125,111,93,48,45,102
390343140164.png,125,111,93,55,41,102
390343140164.png,127,113,95,51,41,102
390405120142.png,99,89,72,43,45,102
390405120142.png,99,89,73,36,44,102
390405120142.png,96,85,69,43,42,102
390405120142.png,96,86,69,44,45,102
390405120142.png,100,90,73,48,46,102
390405120142.png,99,89,73,46,50,102
390405120142.png,98,88,71,40,45,102
390405120142.png,96,85,69,38,45,102
390405120142.png,98,87,71,37,39,102
390405120142.png,99,89,72,43,45,102
390405120142.png,99,89,73,36,44,102
390405120142.png,96,85,69,43,42,102
390405120142.png,96,86,69,44,45,102
390405120142.png,100,90,73,48,46,102
390405120142.png,99,89,73,46,50,102
390405120142.png,98,88,71,40,45,102
390405120142.png,96,85,69,38,45,102
390405120142.png,98,87,71,37,40,102
40249160141.png,198,180,155,100,58,102
40249160141.png,189,173,148,72,43,102
40249160141.png,197,178,153,82,47,102
40249160141.png,203,187,162,122,69,102
40249160141.png,189,172,147,86,55,102
40249160141.png,196,179,154,102,55,102
40249160141.png,196,179,154,104,61,102
40249160141.png,200,182,157,96,56,102
40249160141.png,198,181,156,90,55,102
40249160141.png,198,180,155,100,58,102
40249160141.png,189,173,148,72,43,102
40249160141.png,197,178,153,82,47,102
40249160141.png,203,187,162,122,69,102
40249160141.png,189,172,147,86,55,102
40249160141.png,196,179,154,102,55,102
40249160141.png,196,179,154,104,61,102
40249160141.png,200,182,157,96,56,102
40249160141.png,198,181,156,90,55,102
43645187164.png,147,138,127,94,61,102
43645187164.png,144,135,124,82,63,102
43645187164.png,139,129,120,77,55,102
43645187164.png,140,130,120,83,55,102
43645187164.png,140,131,120,64,57,102
43645187164.png,141,131,120,74,69,102
43645187164.png,140,131,120,74,53,102
43645187164.png,139,129,119,75,64,102
43645187164.png,143,133,123,75,47,102
43645187164.png,147,138,127,94,61,102
43645187164.png,144,135,124,82,63,102
43645187164.png,139,129,120,77,55,102
43645187164.png,140,130,120,83,55,102
43645187164.png,140,131,120,64,57,102
43645187164.png,141,131,120,74,69,102
43645187164.png,140,131,120,74,53,102
43645187164.png,139,129,119,75,64,102
43645187164.png,143,133,123,75,47,102
504486189168.png,184,176,164,109,74,102
504486189168.png,181,172,160,108,58,102
504486189168.png,185,176,164,99,54,102
504486189168.png,183,174,163,99,69,102
504486189168.png,185,176,163,110,70,102
504486189168.png,188,180,169,117,61,102
504486189168.png,183,174,162,113,60,102
504486189168.png,182,173,162,99,54,102
504486189168.png,179,170,158,95,56,102
504486189168.png,184,176,164,109,74,102
504486189168.png,181,172,160,108,58,102
504486189168.png,185,176,164,98,54,102
504486189168.png,183,174,163,99,69,102
504486189168.png,185,176,163,110,70,102
504486189168.png,188,180,169,117,61,102
504486189168.png,183,174,162,113,60,102
504486189168.png,182,173,162,99,54,102
504486189168.png,179,170,158,95,56,102
506214121142.png,223,207,182,111,68,102
506214121142.png,220,204,179,96,52,102
506214121142.png,237,221,196,87,59,102
506214121142.png,226,210,185,96,57,102
506214121142.png,230,214,189,105,68,102
506214121142.png,214,197,172,113,77,102
506214121142.png,226,210,185,108,75,102
506214121142.png,233,217,192,99,59,102
506214121142.png,218,202,177,85,60,102
506214121142.png,223,207,182,111,68,102
506214121142.png,220,204,179,96,52,102
506214121142.png,237,221,196,87,59,102
506214121142.png,226,210,185,96,57,102
506214121142.png,230,214,189,105,68,102
506214121142.png,214,197,172,113,77,102
506214121142.png,226,210,185,108,75,102
506214121142.png,233,217,192,99,59,102
506214121142.png,218,202,177,85,60,102
51072170154.png,89,80,70,101,65,102
51072170154.png,96,86,76,75,56,102
51072170154.png,100,90,79,93,71,102
51072170154.png,102,93,82,96,59,102
51072170154.png,93,84,74,105,71,102
51072170154.png,104,95,84,92,63,102
51072170154.png,99,89,79,87,63,102
51072170154.png,106,96,85,82,67,102
51072170154.png,103,94,83,57,59,102
51072170154.png,89,80,70,101,65,102
51072170154.png,96,86,76,75,56,102
51072170154.png,100,90,79,93,71,102
51072170154.png,102,93,82,96,59,102
51072170154.png,93,84,74,105,71,102
51072170154.png,104,95,84,92,63,102
51072170154.png,99,89,79,87,63,102
51072170154.png,106,96,85,82,67,102
51072170154.png,103,94,83,57,59,102
52418298130.png,202,189,171,73,54,102
52418298130.png,195,182,163,81,47,102
52418298130.png,198,186,168,64,50,102
52418298130.png,194,182,163,68,54,102
52418298130.png,197,184,166,75,64,102
52418298130.png,199,186,167,90,55,102
52418298130.png,195,182,164,91,56,102
52418298130.png,200,187,169,69,49,102
52418298130.png,199,187,168,77,47,102
52418298130.png,202,189,171,73,54,102
52418298130.png,195,182,163,81,47,102
52418298130.png,198,186,168,64,50,102
52418298130.png,194,182,163,68,54,102
52418298130.png,197,184,166,75,64,102
52418298130.png,199,186,167,90,55,102
52418298130.png,195,182,164,91,56,102
52418298130.png,200,187,169,69,49,102
52418298130.png,199,187,168,77,47,102
533138115129.png,158,148,135,87,50,102
533138115129.png,161,151,138,61,45,102
533138115129.png,161,150,137,62,42,102
533138115129.png,157,147,134,67,44,102
533138115129.png,159,149,136,75,53,102
533138115129.png,161,151,138,81,53,102
533138115129.png,162,152,139,82,52,102
533138115129.png,162,151,139,85,52,102
533138115129.png,161,151,138,67,46,102
533138115129.png,158,148,135,87,50,102
533138115129.png,161,151,138,61,45,102
533138115129.png,161,150,137,62,42,102
533138115129.png,157,147,134,67,44,102
533138115129.png,159,149,136,75,53,102
533138115129.png,161,151,138,81,53,102
533138115129.png,162,152,139,82,52,102
533138115129.png,162,151,139,85,52,102
533138115129.png,161,151,138,67,46,102
533188102125.png,224,209,190,94,66,102
533188102125.png,221,206,186,94,60,102
533188102125.png,223,209,189,91,61,102
533188102125.png,218,204,184,80,56,102
533188102125.png,218,204,185,82,64,102
533188102125.png,227,212,192,101,70,102
533188102125.png,217,202,182,97,66,102
533188102125.png,217,204,184,72,54,102
533188102125.png,217,203,183,78,55,102
533188102125.png,224,209,190,94,66,102
533188102125.png,221,206,186,94,60,102
533188102125.png,223,209,189,91,61,102
533188102125.png,218,204,184,80,56,102
533188102125.png,218,204,185,82,64,102
533188102125.png,227,212,192,101,70,102
533188102125.png,217,202,182,97,66,102
533188102125.png,217,204,184,72,54,102
533188102125.png,217,203,183,78,55,102
536119121134.png,144,134,121,93,56,102
536119121134.png,150,140,126,68,46,102
536119121134.png,145,135,122,65,46,102
536119121134.png,150,139,127,67,43,102
536119121134.png,148,137,124,90,55,102
536119121134.png,150,140,127,90,52,102
536119121134.png,149,139,126,79,50,102
536119121134.png,147,136,123,70,48,102
536119121134.png,148,137,125,60,44,102
536119121134.png,144,134,121,93,56,102
536119121134.png,150,140,126,68,46,102
536119121134.png,145,135,122,65,46,102
536119121134.png,150,139,127,67,43,102
536119121134.png,148,137,124,90,55,102
536119121134.png,150,140,127,90,52,102
536119121134.png,149,139,126,79,50,102
536119121134.png,147,136,123,70,48,102
536119121134.png,148,137,125,60,44,102
542113123134.png,143,133,119,102,60,102
542113123134.png,140,130,117,69,41,102
542113123134.png,130,120,107,63,50,102
542113123134.png,142,132,119,60,46,102
542113123134.png,142,132,119,75,51,102
542113123134.png,137,127,114,77,52,102
542113123134.png,139,129,115,75,45,102
542113123134.png,141,130,117,68,43,102
542113123134.png,138,128,115,60,34,102
542113123134.png,143,133,119,102,60,102
542113123134.png,140,130,117,69,41,102
542113123134.png,130,120,107,63,51,102
542113123134.png,142,132,119,60,46,102
542113123134.png,142,132,119,74,51,102
542113123134.png,137,127,114,77,52,102
542113123134.png,139,129,115,75,45,102
542113123134.png,141,130,117,68,43,102
542113123134.png,138,128,115,60,34,102
542137164142.png,113,103,90,104,73,102
542137164142.png,113,103,89,95,65,102
542137164142.png,105,95,81,115,82,102
542137164142.png,112,102,89,97,64,102
542137164142.png,126,116,103,124,80,102
542137164142.png,123,115,101,116,78,102
542137164142.png,105,94,81,103,66,102
542137164142.png,111,100,87,101,70,102
542137164142.png,111,101,87,78,56,102
542137164142.png,113,103,90,104,73,102
542137164142.png,113,103,89,95,65,102
542137164142.png,105,95,81,114,82,102
542137164142.png,112,102,89,97,64,102
542137164142.png,126,116,103,124,80,102
542137164142.png,123,115,101,116,77,102
542137164142.png,105,94,81,103,66,102
542137164142.png,111,100,87,101,70,102
542137164142.png,111,101,87,78,56,102
553317162144.png,165,151,132,108,72,102
553317162144.png,171,157,138,81,41,102
553317162144.png,166,153,133,90,56,102
553317162144.png,163,149,130,104,61,102
553317162144.png,164,150,131,90,62,102
553317162144.png,173,159,141,101,73,102
553317162144.png,169,155,135,94,59,102
553317162144.png,162,148,130,92,65,102
553317162144.png,163,148,129,101,54,102
553317162144.png,165,151,132,108,72,102
553317162144.png,171,157,138,81,41,102
553317162144.png,166,153,133,90,56,102
553317162144.png,163,149,130,104,61,102
553317162144.png,164,150,131,90,62,102
553317162144.png,173,159,141,101,73,102
553317162144.png,169,155,135,94,59,102
553317162144.png,162,148,130,92,65,102
553317162144.png,163,148,129,101,54,102
555214112137.png,212,198,173,113,67,102
555214112137.png,211,196,172,103,53,102
555214112137.png,226,212,187,85,57,102
555214112137.png,219,205,180,100,73,102
555214112137.png,221,207,182,108,73,102
555214112137.png,209,195,170,115,87,102
555214112137.png,220,206,182,105,69,102
555214112137.png,223,210,185,97,67,102
555214112137.png,218,205,180,84,58,102
555214112137.png,212,198,173,113,67,102
555214112137.png,211,196,172,103,53,102
555214112137.png,226,212,187,85,57,102
555214112137.png,219,205,180,100,73,102
555214112137.png,221,207,182,108,73,102
555214112137.png,209,195,170,115,86,102
555214112137.png,220,206,182,105,69,102
555214112137.png,223,210,185,97,67,102
555214112137.png,218,205,180,84,58,102
556221120132.png,234,226,210,106,74,102
556221120132.png,239,232,215,103,71,102
556221120132.png,231,224,207,104,70,102
556221120132.png,235,228,212,104,67,102
556221120132.png,236,229,213,89,69,102
556221120132.png,231,223,207,129,81,102
556221120132.png,235,227,211,116,83,102
556221120132.png,236,228,212,114,71,102
556221120132.png,237,230,214,109,67,102
556221120132.png,234,226,210,106,74,102
556221120132.png,239,232,215,103,71,102
556221120132.png,231,224,207,104,70,102
556221120132.png,235,228,212,104,67,102
556221120132.png,236,229,213,89,69,102
556221120132.png,231,223,207,129,81,102
556221120132.png,235,227,211,116,83,102
556221120132.png,236,228,212,114,71,102
556221120132.png,237,230,214,109,67,102
557215113139.png,218,202,178,120,70,102
557215113139.png,217,202,178,102,62,102
557215113139.png,232,218,194,92,59,102
557215113139.png,219,204,180,111,68,102
557215113139.png,226,211,187,116,74,102
557215113139.png,214,199,174,128,83,102
557215113139.png,229,214,190,114,74,102
557215113139.png,228,214,189,116,77,102
557215113139.png,223,209,184,101,63,102
557215113139.png,218,202,178,120,70,102
557215113139.png,217,202,178,102,61,102
557215113139.png,232,218,194,92,59,102
557215113139.png,219,204,180,111,68,102
557215113139.png,226,211,187,116,74,102
557215113139.png,214,199,174,127,83,102
557215113139.png,229,214,190,114,74,102
557215113139.png,228,214,189,116,77,102
557215113139.png,223,209,184,101,63,102
605230119135.png,245,242,232,93,53,102
605230119135.png,245,242,231,94,61,102
605230119135.png,247,244,235,80,56,102
605230119135.png,242,239,228,86,66,102
605230119135.png,241,238,229,77,72,102
605230119135.png,246,243,232,101,76,102
605230119135.png,246,243,232,105,81,102
605230119135.png,242,239,229,81,69,102
605230119135.png,242,240,229,83,67,102
605230119135.png,245,242,232,93,53,102
605230119135.png,245,242,231,94,61,102
605230119135.png,247,244,235,80,56,102
605230119135.png,242,239,228,86,66,102
605230119135.png,241,238,229,77,72,102
605230119135.png,246,243,232,102,76,102
605230119135.png,246,243,232,105,81,102
605230119135.png,242,239,229,81,68,102
605230119135.png,242,240,229,82,67,102
606479137129.png,103,93,83,61,63,102
606479137129.png,108,98,88,61,70,102
606479137129.png,106,96,86,59,64,102
606479137129.png,105,95,85,59,65,102
606479137129.png,103,93,83,47,66,102
606479137129.png,106,96,86,52,62,102
606479137129.png,106,96,86,55,67,102
606479137129.png,103,94,84,56,62,102
606479137129.png,107,96,87,67,67,102
606479137129.png,103,93,83,61,63,102
606479137129.png,108,98,88,61,70,102
606479137129.png,106,96,86,59,64,102
606479137129.png,105,95,85,59,65,102
606479137129.png,103,93,83,47,66,102
606479137129.png,106,96,86,52,62,102
606479137129.png,106,96,86,55,67,102
606479137129.png,103,94,84,56,62,102
606479137129.png,107,96,87,67,67,102
144478165191.png,116,106,96,96,65,103
144478165191.png,119,109,99,99,70,103
144478165191.png,119,109,99,74,53,103
144478165191.png,120,111,100,83,52,103
144478165191.png,117,107,97,91,66,103
144478165191.png,117,107,97,83,57,103
144478165191.png,120,110,99,76,59,103
144478165191.png,119,109,99,65,57,103
144478165191.png,119,109,99,66,48,103
144478165191.png,116,106,96,96,65,103
144478165191.png,119,109,99,99,70,103
144478165191.png,119,109,99,74,53,103
144478165191.png,120,111,100,83,52,103
144478165191.png,117,107,97,91,66,103
